902	400
448 457 458 449 799 808 809 800
449 458 459 450 800 809 810 801
450 459 460 451 801 810 811 802
451 460 75 74 802 811 162 163
36 37 461 452 132 133 812 803
452 461 462 453 803 812 813 804
453 462 463 454 804 813 814 805
454 463 464 455 805 814 815 806
455 464 465 456 806 815 816 807
456 465 466 457 807 816 817 808
457 466 467 458 808 817 818 809
458 467 468 459 809 818 819 810
459 468 469 460 810 819 820 811
460 469 76 75 811 820 161 162
37 38 470 461 133 134 821 812
461 470 471 462 812 821 822 813
462 471 472 463 813 822 823 814
463 472 473 464 814 823 824 815
464 473 474 465 815 824 825 816
465 474 475 466 816 825 826 817
466 475 476 467 817 826 827 818
467 476 477 468 818 827 828 819
468 477 478 469 819 828 829 820
469 478 77 76 820 829 160 161
38 39 479 470 134 135 830 821
470 479 480 471 821 830 831 822
471 480 481 472 822 831 832 823
472 481 482 473 823 832 833 824
473 482 483 474 824 833 834 825
474 483 484 475 825 834 835 826
475 484 485 476 826 835 836 827
476 485 486 477 827 836 837 828
477 486 487 478 828 837 838 829
478 487 78 77 829 838 159 160
39 40 488 479 135 136 839 830
479 488 489 480 830 839 840 831
480 489 490 481 831 840 841 832
481 490 491 482 832 841 842 833
482 491 492 483 833 842 843 834
483 492 493 484 834 843 844 835
484 493 494 485 835 844 845 836
485 494 495 486 836 845 846 837
486 495 496 487 837 846 847 838
487 496 79 78 838 847 158 159
40 41 497 488 136 137 848 839
488 497 498 489 839 848 849 840
489 498 499 490 840 849 850 841
490 499 500 491 841 850 851 842
491 500 501 492 842 851 852 843
492 501 502 493 843 852 853 844
493 502 503 494 844 853 854 845
494 503 504 495 845 854 855 846
495 504 505 496 846 855 856 847
496 505 80 79 847 856 157 158
41 42 506 497 137 138 857 848
497 506 507 498 848 857 858 849
498 507 508 499 849 858 859 850
499 508 509 500 850 859 860 851
500 509 510 501 851 860 861 852
501 510 511 502 852 861 862 853
502 511 512 503 853 862 863 854
503 512 513 504 854 863 864 855
504 513 514 505 855 864 865 856
505 514 81 80 856 865 156 157
42 43 515 506 138 139 866 857
506 515 516 507 857 866 867 858
507 516 517 508 858 867 868 859
508 517 518 509 859 868 869 860
509 518 519 510 860 869 870 861
510 519 520 511 861 870 871 862
511 520 521 512 862 871 872 863
512 521 522 513 863 872 873 864
513 522 523 514 864 873 874 865
514 523 82 81 865 874 155 156
43 44 524 515 139 140 875 866
515 524 525 516 866 875 876 867
516 525 526 517 867 876 877 868
517 526 527 518 868 877 878 869
518 527 528 519 869 878 879 870
519 528 529 520 870 879 880 871
520 529 530 521 871 880 881 872
521 530 531 522 872 881 882 873
522 531 532 523 873 882 883 874
523 532 83 82 874 883 154 155
44 45 533 524 140 141 884 875
524 533 534 525 875 884 885 876
525 534 535 526 876 885 886 877
526 535 536 527 877 886 887 878
527 536 537 528 878 887 888 879
528 537 538 529 879 888 889 880
529 538 539 530 880 889 890 881
530 539 540 531 881 890 891 882
531 540 541 532 882 891 892 883
532 541 84 83 883 892 153 154
45 46 542 533 141 142 893 884
533 542 543 534 884 893 894 885
534 543 544 535 885 894 895 886
535 544 545 536 886 895 896 887
536 545 546 537 887 896 897 888
537 546 547 538 888 897 898 889
538 547 548 539 889 898 899 890
539 548 549 540 890 899 900 891
540 549 550 541 891 900 901 892
541 550 85 84 892 901 152 153
46 1 95 542 142 5 143 893
542 95 96 543 893 143 144 894
543 96 97 544 894 144 145 895
544 97 98 545 895 145 146 896
545 98 99 546 896 146 147 897
546 99 100 547 897 147 148 898
547 100 101 548 898 148 149 899
548 101 102 549 899 149 150 900
549 102 103 550 900 150 151 901
550 103 3 85 901 151 6 152
